"date","username","to","replies","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"2020-01-17 19:22:37","CDCgov",NA,34,385,371,"In response to an outbreak in China caused by a novel (new) coronavirus, CDC will begin health screenings of travelers arriving from #Wuhan, China at 3 US airports. https://bit.ly/2v13H1J #novelcoronavirus #2019nCoV",NA,NA,"#Wuhan #novelcoronavirus #2019nCoV",1218252301263155200,"https://twitter.com/CDCgov/status/1218252301263155203"
"2020-01-28 20:29:02","CDCgov","",82,732,789,"While CDC considers #2019nCoV a serious situation and is taking preparedness measures, the immediate risk in the U.S. is considered low. Everyone should always take simple daily precautions to help prevent the spread of respiratory illnesses. http://www.cdc.gov/nCoV",NA,NA,"#2019nCoV",1222255281951903744,"https://twitter.com/CDCgov/status/1222255281951903746"
"2020-01-28 14:38:10","CDCgov","makfehrr",0,5,3,"Currently there is no evidence to support spread of 2019-nCoV from goods imported from China; no such cases have been detected. https://bit.ly/36zivBu.",NA,NA,"",1222166983589933056,"https://twitter.com/CDCgov/status/1222166983589933058"
"2020-01-28 14:18:04","CDCgov","EnigmaticBrandi",0,1,2,"Currently there is no evidence to support spread of 2019-nCoV from goods imported from China; no such cases have been detected. https://bit.ly/36zivBu.",NA,NA,"",1222161927486476288,"https://twitter.com/CDCgov/status/1222161927486476288"
"2020-01-28 14:13:37","CDCgov","Calcmrich11",2,0,2,"Currently there is no evidence to support spread of 2019-nCoV from goods imported from China; no such cases have been detected. https://bit.ly/36zivBu.",NA,NA,"",1222160807104077824,"https://twitter.com/CDCgov/status/1222160807104077824"
"2020-01-27 18:03:52","CDCgov","",25,58,66,"The immediate health risk from #2019nCoV in the U.S. is currently considered low. Learn more https://bit.ly/2RnJxHK",NA,NA,"#2019nCoV",1221856364353421312,"https://twitter.com/CDCgov/status/1221856364353421312"
"2020-01-27 18:03:52","CDCgov","",23,438,405,"If you’ve recently returned from China, know the symptoms of #2019nCoV. These include mild to severe respiratory sickness with •Fever •Cough •Shortness of breath. See https://bit.ly/38zjnYo",NA,NA,"#2019nCoV",1221856362885533696,"https://twitter.com/CDCgov/status/1221856362885533697"
"2020-01-27 14:43:01","CDCgov","",26,282,250,"CDC confirms 3 new US cases of novel #coronavirus (#2019nCoV) infection in the U.S., 1 in Arizona &amp; 2 in California. Everyone can do their part to help CDC respond to this emerging public health threat. See CDC Recommendations for what you can do: https://bit.ly/37FuT4F",NA,NA,"#coronavirus #2019nCoV",1221805818359767040,"https://twitter.com/CDCgov/status/1221805818359767041"
"2020-01-27 02:37:00","CDCgov","",106,775,779,"CDC confirms 3 new cases of novel #coronavirus (#2019nCoV) infection in the U.S., 1 in AZ &amp; 2 in CA, bringing total to 5. All US cases travelled from Wuhan, China. More cases may be identified. However, risk to US general public is still considered low. https://bit.ly/2Gd1R07",NA,NA,"#coronavirus #2019nCoV",1221623107397595136,"https://twitter.com/CDCgov/status/1221623107397595137"
"2020-01-24 22:01:33","CDCgov","",298,1474,1212,"What are the symptoms of 2019 Novel Coronavirus (#2019nCoV)? How does the virus spread? Learn the answers to frequently asked questions here: https://bit.ly/2RnJxHK. #FAQ",NA,NA,"#2019nCoV #FAQ",1220829014811607040,"https://twitter.com/CDCgov/status/1220829014811607043"
"2020-01-24 19:24:28","CDCgov","",26,183,157,"Read today’s press statement from CDC on the second travel-related case of 2019 Novel Coronavirus (#2019nCoV) detected in the United States: https://bit.ly/2Rs3Jsl.",NA,NA,"#2019nCoV",1220789481697136640,"https://twitter.com/CDCgov/status/1220789481697136640"
"2020-01-24 19:05:09","CDCgov","",40,473,396,"A second travel-related case of novel #coronavirus (#2019nCoV) has been confirmed in the US. CDC expects more cases in the coming days. CDC is taking aggressive public health measures to help protect the health of Americans. https://bit.ly/2Gd1R07",NA,NA,"#coronavirus #2019nCoV",1220784620796551168,"https://twitter.com/CDCgov/status/1220784620796551173"
"2020-01-22 20:07:32","CDCgov","",56,378,355,"The 2019-nCoV outbreak first identified in Wuhan, China, is an emerging, rapidly evolving situation. CDC is providing updated information as it becomes available. For the most current information, please check https://www.cdc.gov/coronavirus/2019-nCoV/summary.html.",NA,NA,"",1220075543015645184,"https://twitter.com/CDCgov/status/1220075543015645186"
"2020-01-21 20:58:05","CDCgov","",55,125,145,"While limited person-to-person spread with this new coronavirus in Asia raises CDC’s level of concern, the agency continues to believe the risk of #2019-nCoV to the American public at large remains low at this time. https://bit.ly/2RGmDu2",NA,NA,"",1219725877359120384,"https://twitter.com/CDCgov/status/1219725877359120386"
"2020-01-21 20:57:33","CDCgov","CDCgov",10,241,255,"CDC has been proactively preparing for the possible introduction of #2019-nCoV in the US in a traveler from Wuhan, including on Jan 8, alerting clinicians to watch for this new virus, &amp; on Jan 17, providing more guidance to public health partners. https://emergency.cdc.gov/han/han00426.asp",NA,NA,"",1219725742843613184,"https://twitter.com/CDCgov/status/1219725742843613184"
"2020-01-21 20:57:06","CDCgov","",117,1278,1120,"The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to Wuhan, China. Additional cases in travelers have been reported in Thailand, Japan, and The Republic of Korea. https://www.cdc.gov/coronavirus/2019-nCoV/summary.html",NA,NA,"#coronavirus",1219725632906694656,"https://twitter.com/CDCgov/status/1219725632906694663"
"2020-01-18 03:06:45","CDCgov","",12,239,237,"CDC has updated information about an outbreak of novel #coronavirus in China with cases exported to Thailand and Japan. See new information for healthcare providers and laboratorians on who to test and what specimens to take to detect #2019-nCoV. https://bit.ly/2NyUyUo",NA,NA,"#coronavirus",1218369105415364608,"https://twitter.com/CDCgov/status/1218369105415364610"
"2020-01-17 19:22:37","CDCgov","",7,34,52,"Health screenings of travelers arriving from #Wuhan, China is part of a layered approach used with other public health measures already in place to slow and reduce possible spread of #2019nCOV into the United States. https://bit.ly/2v13H1J",NA,NA,"#Wuhan #2019nCOV",1218252302647287808,"https://twitter.com/CDCgov/status/1218252302647287808"
"2020-01-17 19:22:37","CDCgov","",34,385,371,"In response to an outbreak in China caused by a novel (new) coronavirus, CDC will begin health screenings of travelers arriving from #Wuhan, China at 3 US airports. https://bit.ly/2v13H1J #novelcoronavirus #2019nCoV ",NA,NA,"#Wuhan #novelcoronavirus #2019nCoV",1218252301263155200,"https://twitter.com/CDCgov/status/1218252301263155203"
"2020-01-15 18:44:37","CDCgov","WHO",2,57,63,"CDC continues to monitor this ongoing investigation to learn more about this rapidly evolving outbreak #coronavirus. #2019-nCoV https://www.cdc.gov/coronavirus/novel-coronavirus-2019.html",NA,NA,"#coronavirus",1217517963278012416,"https://twitter.com/CDCgov/status/1217517963278012416"
