"word1","word2","n"
"reut.rs","36bcggu",8
"reut.rs","36pffpc",8
"reut.rs","37yb6do",8
"reut.rs","38fbl20",8
"reut.rs","38jsxii",8
"risk","averse",8
"sars","linked",8
"saudi","energy",8
"schools","urged",8
"scientific","officer",8
"separate","arrival",8
"shut","amid",8
"singapore","confirms",8
"siobhanrobbins","reports",8
"sparking","concern",8
"special","meeting",8
"spreading","fast",8
"spreading","outbreak",8
"spreading","rapidly",8
"spreads","china",8
"spreads","coronavirus",8
"spreads","nationwide",8
"squawkstreet","podcast",8
"st2vt","china",8
"standard","chartered",8
"stay","alert",8
"stocks","set",8
"stocks","tumble",8
"stronger","china",8
"takes","top",8
"temporarily","close",8
"temporary","ban",8
"texas","student",8
"thailand","coronavirus",8
"tokyo","2020",8
"toll","reaches",8
"tourist","sites",8
"train","station",8
"transit","ban",8
"transportation","outward",8
"travelers","worry",8
"travellers","amid",8
"treasury","yields",8
"treat","pneumonia",8
"trib.al","6rv8bdv",8
"u.s","patient",8
"unwanted","exposure",8
"update","china",8
"update","patients",8
"urge","people",8
"usd","donated",8
"virus","emergency",8
"virus","quarantined",8
"virus","reaches",8
"virus's","potential",8
"wapo.st","2syhlnu",8
"warnings","grow",8
"warns","china",8
"warns","coronavirus's",8
"woman","treated",8
"world’s","biggest",8
"worst","hit",8
"wsjheard","explains",8
"wuhan","central",8
"wuhan","demands",8
"wuhan","outbreak",8
"xhne.ws","8y98q",8
"xhne.ws","a02ag",8
"xhne.ws","blzum",8
"xhne.ws","p63oa",8
"xhne.ws","tiebw",8
"xhne.ws","xm5rn",8
"xhne.ws","z9al7",8
"xm5rn","3",8
"yananw","reports",8
"1","287",7
"1","wuhan",7
"10","cities",7
"12","teams",7
"2","1st",7
"2","american",7
"2","beijing",7
"2168267","coronavirus",7
"2169689","coronavirusoutbreak",7
"2169747","coronavirus",7
"2170044","coronavirusoutbreak",7
"2170044","ndtvnewsbeeps",7
"24","1",7
"27","coronavirus",7
"287","confirmed",7
"4,500","confirmed",7
"5,794","suspected",7
"51","people",7
"6","days",7
"7","million",7
"80","deaths",7
"9","people",7
"a9301271","html",7
"a9le","china",7
"abcn.ws","3ahnj6n",7
"accelerating","crisis",7
"additional","12",7
"adhanom","ghebreyesus",7
"adversity","coronavirus",7
"advises","avoiding",7
"advises","frequent",7
"advising","citizens",7
"agnès","buzyn",7
"alcohol","based",7
"american","citizens",7
"american","employees",7
"american","universities",7
"americans","traveling",7
"amid","china",7
"amid","reports",7
"amp","water",7
"announced","2,744",7
"approximately","11",7
"australia","a9301271",7
"authorities","stressed",7
"avoiding","nonessential",7
"ban","motor",7
"based","efforts",7
"based","hand",7
"bats","soup",7
"bolster","economic",7
"breakfast","read",7
"britons","set",7
"call","centre",7
"cdc","tells",7
"central","location",7
"chant","wuhan",7
"chicago","resident",7
"chief","sends",7
"china","amidst",7
"china","announced",7
"china","appears",7
"china","calls",7
"china","cnn's",7
"china","constitutes",7
"china","duke",7
"china","issues",7
"china","kicks",7
"china","postpones",7
"china","starting",7
"china's","ability",7
"china's","premier",7
"china's","zhejiang",7
"china’s","central",7
"china’s","chicago",7
"chinavirus","newsalert",7
"chinese","center",7
"chinese","lunar",7
"chinese","president",7
"chinese","social",7
"cities","including",7
"city","amid",7
"city","believed",7
"city's","coronavirus",7
"classes","due",7
"cnn.it","30lgozr",7
"cnn.it","36cwa13",7
"cnn.it","37htbrl",7
"cnn.it","38ml4sy",7
"cnn's","david_culver",7
"command","center",7
"community","based",7
"complicated","history",7
"concerns","it’s",7
"coronavirus","airport",7
"coronavirus","breaking",7
"coronavirus","china's",7
"coronavirus","command",7
"coronavirus","hospitals",7
"coronavirus","situation",7
"coronavirus","updates",7
"coronavirus","video",7
"coughing","passenger",7
"crisis","follow",7
"crucial","stage",7
"crucial","time",7
"curb","spread",7
"dangerous","virus",7
"days","expert",7
"dedicated","hospital",7
"dedicated","pneumonia",7
"deeper","economic",7
"developing","vaccines",7
"duke","kunshan",7
"economic","globalization",7
"economic","slowdown",7
"epicenter","follow",7
"eqtrv","china",7
"ethical","concerns",7
"evacuate","government",7
"evacuate","wuhan",7
"fanning","worries",7
"fears","wuhan",7
"feb","2",7
"ferries","buses",7
"flee","china’s",7
"flying","mammal",7
"foreign","nationals",7
"france","australia",7
"french","citizens",7
"frequent","cleaning",7
"fujd8","2",7
"global","stocks",7
"globalization","wef",7
"globe","including",7
"government","personnel",7
"han","mingzhe",7
"hand","rub",7
"health","authority",7
"heartwarming","residents",7
"heritage","site",7
"hit","hard",7
"hospital","overcrowded",7
"issues","urgent",7
"jan","19",7
"jan","30",7
"jinping","called",7
"jinping","warned",7
"jkicu","2",7
"joint","efforts",7
"joom0","wuhan",7
"killed","56",7
"kunshan","university",7
"leave","city",7
"location","wuhan",7
"lockdown","authorities",7
"mammals","u.s",7
"medical","shortages",7
"mild","symptoms",7
"minister","agnès",7
"minister","harsh",7
"motor","vehicles",7
"mount","lushan",7
"mystery","illness",7
"nationals","prepared",7
"ncov","reported",7
"neighboring","huanggang",7
"news","15",7
"news","health",7
"nyti.ms","37rn4uf",7
"ooutg","3",7
"organization","called",7
"outbreak","2",7
"outbreak","2168267",7
"outbreak","41",7
"outbreak","details",7
"outbreak","due",7
"outbreak","president",7
"outbreak","prevention",7
"outbreak","report",7
"outbreak","scientists",7
"outbreak","stocks",7
"outbreak’s","death",7
"party","committees",7
"people","affected",7
"people","died",7
"people","effectively",7
"people","flee",7
"people","stocking",7
"pneumonia","china",7
"pneumonia","guterres",7
"pneumonia","hospital",7
"postponed","classes",7
"postpones","school",7
"prevent","infection",7
"preventative","measures",7
"private","american",7
"provincial","capital",7
"pupil","han",7
"pygad","3",7
"quarantined","video",7
"recent","coronavirus",7
"regions","reporting",7
"remarkable","person",7
"reported","1",7
"reported","17",7
"reportedly","planning",7
"reports","2169689",7
"residents","chant",7
"return","safely",7
"reut.rs","2riwwua",7
"reut.rs","2rzv4mr",7
"reut.rs","2suyvh9",7
"reut.rs","2ttcit5",7
"rml","hospital",7
"saturday","announces",7
"school","semester",7
"semester","amid",7
"send","additional",7
"sends","chinese",7
"shanghai","campus",7
"singapore","japan",7
"singapore's","health",7
"sky's","laurabundock",7
"smi4h","2",7
"soap","amp",7
"special","flight",7
"started","developing",7
"starting","thursday",7
"stations","ferries",7
"strict","transportation",7
"symptoms","treatment",7
"taxi","driver",7
"tedros","adhanom",7
"television","network",7
"temporarily","closed",7
"testing","kits",7
"thirty","provincial",7
"top","priority",7
"tours","abroad",7
"town","wuhan",7
"train","stations",7
"transportation","beginning",7
"transportation","networks",7
"transportation","restrictions",7
"travel","ban",7
"travel","bans",7
"twitter","appears",7
"uk","hunts",7
"unbelievable","undertaking",7
"unesco","world",7
"university's","shanghai",7
"upgrades","preventative",7
"urged","citizens",7
"urgent","warning",7
"video","appears",7
"watch","live",7
"world","heritage",7
"wtmjp","china's",7
"wuhan","consulate",7
"wuhan","jiayou",7
"xhne.ws","5x0b1",7
"xhne.ws","88efv",7
"xhne.ws","9q0rx",7
"xhne.ws","e9vrj",7
"xhne.ws","ellde",7
"xhne.ws","f6ldf",7
"xhne.ws","hauzn",7
"xhne.ws","jkicu",7
"xhne.ws","joom0",7
"xhne.ws","nfrjg",7
"xhne.ws","pygad",7
"xhne.ws","r23qx",7
"xhne.ws","r7rrn",7
"xhne.ws","tnfci",7
"xhne.ws","vongk",7
"xhne.ws","wtmjp",7
"xhne.ws","yj24i",7
"xhne.ws","yr1es",7
"xhne.ws","zoqyw",7
"xun70","3",7
"yj24i","china",7
"york","university's",7
"1","2,744",6
"1,072","suspected",6
"1.5433986","adamsmiller",6
"1.5442376","karenpaulscbc",6
"10,000","hospital",6
"100","losing",6
"106","paying",6
"14","experts",6
"18","cities",6
"2","medical",6
"2,000","stores",6
"2,700","infected",6
"2,714","total",6
"20","cities",6
"20","coronavirus",6
"200","underscoring",6
"2168487","china",6
"2168805","coronavirusoutbreak",6
"2168808","coronavirusoutbreak",6
"2169039","china",6
"2169581","coronovirusoutbreak",6
"2169619","coronavirusoutbreak",6
"2169790","chinavirus",6
"2170562","china",6
"24","coronavirus",6
"24","hours",6
"25","1",6
"26","1",6
"26","coronavirus",6
"26","lives",6
"27","1",6
"28","wuhan",6
"291","confirmed",6
"2cwlo","entrusted",6
"2o71dmd","coronavirus",6
"2o71dmd","listen",6
"2ofgpxv","india",6
"2tk3pwl","xi",6
"2tsaqm1","coronavirus",6
"2vra61e","china",6
"3","chinese",6
"30wje0o","china",6
"32","million",6
"36pffpc","amid",6
"37byn4f","china's",6
"38fi1ne","factbox",6
"4","515",6
"400","people",6
"41","china",6
"41","million",6
"50","percent",6
"515","2170723",6
"54","suspected",6
"571","confirmed",6
"5x0b1","russia",6
"6","cnn",6
"650","globally",6
"88efv","tibet",6
"9","billion",6
"9","cities",6
"a9v1","china",6
"abcn.ws","2nugpkl",6
"abcn.ws","2rokjgc",6
"abcn.ws","2vtlujx",6
"abcn.ws","37lt8cx",6
"adds","ninth",6
"advises","travelers",6
"advisory","specifically",6
"advisory","urging",6
"affairs","ani",6
"affect","global",6
"affected","news",6
"affecting","millions",6
"afp","quotes",6
"agricultural","producers",6
"ahirtens","wsjwhatsnow",6
"aje.io","4fbam",6
"aje.io","9jgjb",6
"aje.io","c6s9d",6
"aje.io","sdzrw",6
"aje.io","x35nz",6
"aje.io","ysl58",6
"aje.io","zaxn6",6
"amid","efforts",6
"amid","warnings",6
"amp","snakes",6
"amp","wreaked",6
"anger","grows",6
"announcing","travel",6
"annual","financial",6
"app","store",6
"apple's","plans",6
"arabia","denies",6
"arabia","infected",6
"asia_pacific","coronavirus",6
"asian","economies",6
"asian","region",6
"australia","confirm",6
"australia","news",6
"authorities","seeking",6
"authorities","stepped",6
"ayh0j","2",6
"ban","32",6
"ban","amid",6
"baseless","conspiracy",6
"bats","amp",6
"bavarian","ministry",6
"bbc","health",6
"begun","pulling",6
"beijing","constantly",6
"biggest","energy",6
"bit.ly","2u048sk",6
"bodies","lying",6
"border","travel",6
"boris","johnson's",6
"breakingviews","columnist",6
"broadens","lockdowns",6
"broader","stock",6
"build","hospitals",6
"business","closures",6
"business","leaders",6
"california","coronavirus",6
"canadian","government",6
"canceling","voyages",6
"capital","beijing",6
"car","market",6
"caterinasoave","discuss",6
"cathay","pacific",6
"caused","european",6
"caused","sars",6
"cautioning","travelers",6
"censorship","machine",6
"central","hubei",6
"ceremony","due",6
"changing","situation",6
"cheaper","model",6
"chernobyl","catastrophe",6
"chief","minister",6
"chief","total",6
"china","activates",6
"china","adds",6
"china","beijing's",6
"china","broadens",6
"china","cautioning",6
"china","coronavirusoutbreak",6
"china","emphasized",6
"china","fight",6
"china","flights",6
"china","increases",6
"china","locked",6
"china","ministry",6
"china","mobilizes",6
"china","official",6
"china","operations",6
"china","outbreak",6
"china","people",6
"china","raising",6
"china","ramps",6
"china","releases",6
"china","remains",6
"china","temporary",6
"china","transport",6
"china","tweets",6
"china","vowed",6
"china's","response",6
"china’s","biggest",6
"china’s","borders",6
"china’s","currency",6
"china’s","handling",6
"china’s","pm",6
"china’s","top",6
"china’s","unprecedented",6
"chinas","capital",6
"chinavirus","china",6
"chinese","airlines",6
"chinese","community",6
"chinese","experts",6
"chinese","people",6
"chinese","tourist",6
"circulating","online",6
"cirque","du",6
"cities","affecting",6
"cities","amid",6
"cities","chinese",6
"cities","read",6
"cities","restricting",6
"citizens","faith",6
"city’s","health",6
"civil","airplanes",6
"cnb.cx","2rn57mm",6
"cnn","reports",6
"cnn.it","2nnfdeg",6
"cnn.it","30d4kku",6
"cobra","committee",6
"cockburn","china’s",6
"combat","hiv",6
"commission","minister",6
"companies","suspend",6
"completed","wuhan",6
"confirm","1st",6
"confirmed","54",6
"confirms","fourth",6
"conservative","leadership",6
"conspiracy","theory",6
"constantly","checking",6
"containment","measures",6
"continues","key",6
"coronarovirus","coronavirusoutbreak",6
"coronavirus","2169759",6
"coronavirus","2169790",6
"coronavirus","2170562",6
"coronavirus","450",6
"coronavirus","appears",6
"coronavirus","australian",6
"coronavirus","chinas",6
"coronavirus","diagnosed",6
"coronavirus","facebook",6
"coronavirus","factbox",6
"coronavirus","hits",6
"coronavirus","hospital",6
"coronavirus","junior",6
"coronavirus","ministry",6
"coronavirus","public",6
"coronavirus","shakes",6
"coronavirus","thermal",6
"coronavirus","transmission",6
"coronavirus","trapped",6
"coronavirus","update",6
"coronovirusoutbreak","chinavirus",6
"correspondent","jamestgallagher",6
"cough","fever",6
"countries","china",6
"countries","urge",6
"country’s","coronavirus",6
"country’s","struggling",6
"country’s","travel",6
"cruise","operators",6
"cultural","sites",6
"curb","outbreak",6
"cut","flights",6
"davos","privately",6
"dead","2,714",6
"dead","bodies",6
"deadly","epidemic",6
"deadly","infection",6
"deadly","severe",6
"deaths","830",6
"declare","coronavirus",6
"declares","china’s",6
"declaring","public",6
"deepening","concerns",6
"defends","response",6
"department","urges",6
"died","due",6
"died","follow",6
"discovered","virus",6
"discusses","china’s",6
"disney","mcdonald’s",6
"dissent","nurses",6
"doctor","videos",6
"dodging","government",6
"downloads","soar",6
"dozens","china",6
"dr","matt",6
"dramatic","restrictions",6
"drastic","travel",6
"du","soleil",6
"ear","nose",6
"echobox","1580193438",6
"economies","coronavirus",6
"economy","harder",6
"emergency","2169581",6
"emergency","amid",6
"emergency","coronavirus",6
"energy","consumer",6
"entire","world's",6
"environmental","samples",6
"epicenter","hubei",6
"epidemic","wsjheard",6
"erin","o'toole",6
"establishes","headquarters",6
"european","stock",6
"experts","isolate",6
"express","concerns",6
"extend","spring",6
"extends","lunar",6
"extends","spring",6
"facebook","lg",6
"facing","questions",6
"fears","2169421",6
"fears","china's",6
"fears","spread",6
"fight","coronavirus",6
"fight","sars",6
"fighting","coronavirus",6
"fill","vacuum",6
"financial","results",6
"forcing","officials",6
"foreign","staff",6
"foshan","china",6
"french","doctor",6
"friday","morning",6
"friday","seventeen",6
"fueled","fears",6
"game","downloads",6
"global","air",6
"global","concern",6
"global","epidemic",6
"global","giants",6
"gourmands","china",6
"government","censors",6
"government","coronavirus",6
"government","plans",6
"government","scrambles",6
"government's","emergency",6
"granting","visas",6
"greta","thunberg",6
"grossly","underestimated",6
"growing","china",6
"growing","concerns",6
"growing","coronavirus",6
"health","check",6
"health","correspondent",6
"health","protection",6
"health","threat",6
"heightened","precautions",6
"helped","china",6
"hide","liyuan6",6
"hit","china’s",6
"holiday","breaking",6
"holiday","coronavirusoutbreak",6
"hopeful","erin",6
"hospitals","rising",6
"house","discussing",6
"housing","block",6
"hsbc","announcing",6
"html","coronavirus",6
"human","coronavirus",6
"humans","china",6
"hundred","people",6
"hundreds","amp",6
"i7mig","3",6
"iht9c","2",6
"illness","here’s",6
"illnesses","sickening",6
"imaging","equipment",6
"immediately","actions",6
"impose","travel",6
"increase","iphone",6
"increased","50",6
"increased","government",6
"independent","civil",6
"india","reviews",6
"indian","nurse",6
"indian","student",6
"indias","preparedness",6
"infected","drastic",6
"infected","forcing",6
"infections","pile",6
"infectious","disease",6
"infects","4",6
"infects","4,515",6
"info","shared",6
"instituting","travel",6
"intelligence","majohns",6
"intensify","coronavirus",6
"international","carmakers",6
"international","outbreak",6
"international","pandemic",6
"investors","worry",6
"irish","polio",6
"jaishankar","coronavirusoutbreak",6
"january","6",6
"japan","thailand",6
"japanese","resident",6
"jinping","warns",6
"joe","armitt",6
"johnson's","spokesman",6
"journalists","discuss",6
"junior","foreign",6
"justin","china",6
"karenpaulscbc","jeff__yates",6
"keqiang","arrived",6
"keqiang","calls",6
"kerala","chief",6
"key","questions",6
"killed","80",6
"killer","coronavirus",6
"kobe","bryant",6
"late","monday",6
"leadership","hopeful",6
"left","hong",6
"leisure","industry",6
"life","doctor",6
"link","coronavirus",6
"live","online",6
"liyuan6","writes",6
"lk3oe","2",6
"lockdown","amid",6
"lockdown","due",6
"lockdown","fast",6
"lockdown","spreads",6
"machine","prompting",6
"main","battlefield",6
"majohns","discusses",6
"major","lunar",6
"makeshift","hospitals",6
"malaysia","confirms",6
"market's","highs",6
"mcdonald’s","starbucks",6
"measures","implemented",6
"media","2169619",6
"medical","observation",6
"medical","system",6
"meet","deadly",6
"mhkqf","china's",6
"microbiology","lab",6
"military","aid",6
"military","medical",6
"million","affected",6
"minister","2168711",6
"minister","boris",6
"minister","briefed",6
"minister","pinarayi",6
"minister","speaking",6
"ministers","office",6
"minor","risk",6
"mobilizes","medical",6
"model","hospital",6
"monday","trading",6
"morning","briefing",6
"munich","late",6
"mutating","underscoring",6
"mysterious","virus",6
"nation's","response",6
"national","microbiology",6
"nationals","affected",6
"ndtv.com","india",6
"nearest","observation",6
"news","conference",6
"news","kerala",6
"news","podcast",6
"news","prime",6
"news","shanghai",6
"newsletter","conservative",6
"nhs","staff",6
"ninth","city",6
"normal","times",6
"notice","citing",6
"nyti.ms","2rpuacf",6
"o'toole","moves",6
"observation","stations",6
"october","2",6
"office","warns",6
"official","2168808",6
"official","fighting",6
"official","warned",6
"on.ft.com","3aa7fif",6
"on.wsj.com","2tqarqe",6
"on.wsj.com","3avdfnq",6
"ongoing","outbreak",6
"operations","restrict",6
"organisation","spokesperson",6
"organization","declares",6
"outbreak","10",6
"outbreak","106",6
"outbreak","2170618",6
"outbreak","30",6
"outbreak","bbc",6
"outbreak","follow",6
"outbreak","growing",6
"outbreak","intensify",6
"outbreak","japan",6
"outbreak","live",6
"outbreak","prompts",6
"outbreak","reminds",6
"outbreak","starbucks",6
"outbreak","threatens",6
"outbreak","transportation",6
"outbreak","trapped",6
"outbreak","uk",6
"outbreak","updates",6
"outbreak","warns",6
"outbreak","world",6
"outbreak","wsjwhatsnow",6
"outbreak","xi",6
"overwhelmed","hospitals",6
"owned","television",6
"pandemic","amid",6
"panic","dr",6
"passengers","screened",6
"passengers","travelling",6
"patel","uk",6
"pathetic","uk",6
"patients","official",6
"patients","residents",6
"patients","tripled",6
"patrick","cockburn",6
"paying","tribute",6
"people","fearing",6
"people","follow",6
"performance","handling",6
"period","lasts",6
"person","died",6
"person","health",6
"peter","mackay's",6
"plague","game",6
"plastic","pouring",6
"players","create",6
"pm","calls",6
"pneumonia","106",6
"pneumonia","41",6
"pneumonia","epidemic",6
"pneumonia","illnesses",6
"pneumonia","including",6
"pneumonia","rises",6
"pneumonia","spread",6
"podcast","asia",6
"polio","epidemic",6
"potential","impact",6
"preliminary","investigation",6
"preserving","public",6
"president","coronavirus",6
"prevent","virus",6
"prices","fall",6
"prices","falling",6
"prime","minister",6
"prime","minister's",6
"prime","ministers",6
"prince","charles",6
"privately","express",6
"prohibit","undergrads",6
"prolonged","outbreak",6
"prompted","closures",6
"prompting","beijing",6
"prompts","university",6
"proper","extent",6
"protesters","torched",6
"province","amid",6
"provincial","region",6
"public","anger",6
"public","fears",6
"public","housing",6
"public","stability",6
"qhfkc","3",6
"quarantine","facility",6
"quarantine","zone",6
"questions","remain",6
"quick","rundown",6
"raised","fears",6
"raising","concerns",6
"reach","britain",6
"received","lots",6
"reconsider","visiting",6
"reel","2170613",6
"related","travel",6
"remains","low",6
"remains","riddled",6
"reports","1,975",6
"reports","291",6
"reports","3rd",6
"reports","4,515",6
"reports","571",6
"reports","coronavirus",6
"republicday","ceremony",6
"research","team",6
"residential","building",6
"resolute","fight",6
"restrict","travel",6
"restricting","china",6
"restricting","movement",6
"restrictions","expanded",6
"reut.rs","2g5orou",6
"reut.rs","2ge1id2",6
"reut.rs","2ofgpxv",6
"reut.rs","2re3yjh",6
"reut.rs","2ry1mta",6
"reut.rs","2tk3pwl",6
"reut.rs","2uphwgy",6
"reut.rs","36alo0w",6
"reut.rs","36vveqk",6
"reut.rs","37byn4f",6
"reut.rs","37urpdp",6
"reviews","indias",6
"reviews","readiness",6
"rise","cmp",6
"rising","fast",6
"sars","pandemic",6
"scary","situation",6
"school","china",6
"school","related",6
"screening","passengers",6
"secretary","grantshapps",6
"send","delegation",6
"send","expert",6
"sends","military",6
"severe","acute",6
"shakes","citizens",6
"shared","immediately",6
"sharp","drop",6
"shuts","half",6
"sickened","dozens",6
"sickened","thousands",6
"sickening","dozens",6
"significant","footprints",6
"situation","arising",6
"sixth","international",6
"slumped","thursday",6
"source","experts",6
"specifically","names",6
"spread","fear",6
"spread","globally",6
"spread","here’s",6
"spreads","2168487",6
"spreads","wuhan",6
"squelch","dissent",6
"starbucks","shuts",6
"started","restricting",6
"statement","released",6
"stock","market's",6
"stocks","dip",6
"stop","talking",6
"stopped","granting",6
"street","tanked",6
"strong","arming",6
"struggling","car",6
"supplies","shortage",6
"suspend","china",6
"suspending","operations",6
"suspends","visa",6
"syndrome","sars",6
"tells","cnn",6
"temporary","bans",6
"testing","patients",6
"thailand","confirms",6
"theory","linking",6
"thermal","imaging",6
"throat","specialist",6
"tighten","containment",6
"time","wuhan",6
"today's","morning",6
"today’s","what’s",6
"top","chinese",6
"top","doctor",6
"top","health",6
"top","official",6
"tracked","live",6
"tracks","hospital",6
"transparent","beijing",6
"transport","secretary",6
"travel","industry",6
"trib.al","eoxwob6",6
"trib.al","fiqxiy1",6
"trouble","breathing",6
"trump","administration",6
"trump","impeachment",6
"tweets","foreign",6
"u.s","airports",6
"u.s","companies",6
"u.s","seeks",6
"ujjain","hospital",6
"uk","citizens",6
"uk","coronavirus",6
"uk","taking",6
"union","health",6
"unprecedented","lockdown",6
"updates","2020",6
"updates","chinese",6
"updates","u.s",6
"urges","americans",6
"urges","citizens",6
"urging","citizens",6
"virus","fears",6
"virus","global",6
"virus","officials",6
"virus","stems",6
"visited","wuhan",6
"vongk","3",6
"we’ve","tracked",6
"weaken","economic",6
"what’s","news",6
"world","asia_pacific",6
"world","leader",6
"world","slumped",6
"world","stepped",6
"world's","population",6
"worst","session",6
"wreaked","havoc",6
"wuhan","contracts",6
"wuhan","establishes",6
"wuhan","health",6
"wuhan","huanggang",6
"wuhan","mother",6
"wuhan","reports",6
"wuhan’s","coronavirus",6
"www.cbc.ca","1.5433986",6
"www.cbc.ca","1.5442376",6
"www.theguardian.com","australia",6
"www.washingtonpost.com","world",6
"x35nz","coronavirusoutbreak",6
"xhne.ws","0dvxt",6
"xhne.ws","1sgdy",6
"xhne.ws","2cwlo",6
"xhne.ws","3tvd5",6
"xhne.ws","577x4",6
"xhne.ws","6bgxc",6
"xhne.ws","abblg",6
"xhne.ws","azhiz",6
"xhne.ws","hdpc3",6
"xhne.ws","jynck",6
"xhne.ws","lcj2k",6
"xhne.ws","lmxsu",6
"xhne.ws","po1lw",6
"xhne.ws","pp19v",6
"xhne.ws","qgfdd",6
"xhne.ws","r9fdi",6
"xhne.ws","sgnyb",6
"xhne.ws","uey1n",6
"xhne.ws","wu2ud",6
"xhne.ws","xjc2j",6
"xi","defends",6
"xiaowei","china",6
"zoqyw","china's",6
"01","23",5
"01","27",5
"1","bln",5
"1000","americans",5
"131","people",5
"14","test",5
"145","mln",5
"15","medical",5
"2","japan",5
"2","macao",5
"2","south",5
"2","united",5
"2","vietnam",5
"2,000","people",5
"2003","outbreak",5
"2168754","coronavirusoutbreak",5
"2169656","coronavirusoutbreak",5
"2169747","ndtvnewsbeeps",5
"23","inside",5
"24","7",5
"24x7","call",5
"25","dead",5
"26","dead",5
"26","deaths",5
"26","wuhan",5
"27","chinese",5
"29","coronavirus",5
"2ttcit5","central",5
"3","health",5
"3","hong",5
"3","taiwan",5
"3,000","people",5
"30","drug",5
"30kleqa","breaking",5
"30njni0","china",5
"36hoama","follow",5
"38fi1ne","chinese",5
"4","indian",5
"40","days",5
"41","updates",5
"440","reported",5
"5","million",5
"5","singapore",5
"56","deaths",5
"6","japan's",5
"6,000","medics",5
"69jwy","multiple",5
"7","central",5
"80","suspected",5
"800","infected",5
"81","dead",5
"900","people",5
"a9mm","video",5
"a9wi","coronavirus",5
"abcn.ws","2nvpkxk",5
"abcn.ws","2ro5wf5",5
"abcn.ws","2sw3ank",5
"abcn.ws","37uayik",5
"abcn.ws","38hkqr3",5
"airport","spokesman",5
"airport","trains",5
"airports","amp",5
"aje.io","nqp3f",5
"allocates","1",5
"amid","scare",5
"amp","harbors",5
"amp","li_medium",5
"andrea","leadsom",5
"announce","follow",5
"answer","queries",5
"army","medics",5
"asia","greet",5
"atlanta","airports",5
"attractions","effective",5
"attractions","shutting",5
"australia","turkey",5
"authorities","seek",5
"authorities","step",5
"authorities","withholding",5
"baffling","writes",5
"bahrain","uganda",5
"balconies","amid",5
"bangladesh","singapore",5
"based","travel",5
"biggest","online",5
"bln","yuan",5
"border","entries",5
"breakingnews","federal",5
"britons","urged",5
"broadcaster","zhou",5
"built","dozens",5
"business","secretary",5
"busy","lunar",5
"cancellation","fees",5
"cancellation","mayhem",5
"car","traffic",5
"caused","cancellation",5
"cdc","issues",5
"central","teams",5
"charter","plane",5
"charter","school",5
"checked","routinely",5
"checks","abs_nbc",5
"chicago","officials",5
"china","advising",5
"china","city",5
"china","extended",5
"china","fast",5
"china","rise",5
"china","shut",5
"china","tested",5
"china's","announcement",5
"china's","battle",5
"china's","virus",5
"chinas","wuhan",5
"chinavirus","health",5
"chinese","embassy",5
"chinese","expert",5
"chinese","fear",5
"chinese","package",5
"chinese","report",5
"chinese","vice",5
"chunlan","urges",5
"city","wuhan",5
"city's","mayor",5
"closed","shops",5
"closes","schools",5
"cnn.it","2gwp3s4",5
"cnn.it","2toyysj",5
"cnn.it","2trrqsh",5
"cnn.it","30kleqa",5
"cnn.it","30njni0",5
"cnn.it","36hoama",5
"cnn.it","36ovnvv",5
"cnn.it","37zrggh",5
"cnn.it","38k29hj",5
"cnn’s","david",5
"committee","china’s",5
"communist","party",5
"completely","devoid",5
"confirmed","13",5
"confirmed","wuhan",5
"confirms","deadly",5
"considers","declaring",5
"consulate","personnel",5
"contained","learn",5
"coronavirus","14",5
"coronavirus","advises",5
"coronavirus","airports",5
"coronavirus","anger",5
"coronavirus","announced",5
"coronavirus","bringing",5
"coronavirus","construction",5
"coronavirus","fatality",5
"coronavirus","france",5
"coronavirus","germany",5
"coronavirus","screenings",5
"coronavirus","story",5
"coronavirus","tales",5
"coronavirus","tibet",5
"coronavirus","transportation",5
"correction","cdc",5
"corridors","loaded",5
"countries","including",5
"country","china",5
"country","due",5
"country","seeks",5
"country’s","surge",5
"county","california",5
"cpc","leadership",5
"cte3g","thirty",5
"culver","traveled",5
"customers","pulled",5
"dangerous","illness",5
"david","culver",5
"day","monday",5
"day","sunday",5
"deaths","live",5
"declares","wuhan",5
"delhi's","rml",5
"departed","wuhan",5
"designated","airports",5
"development","samples",5
"diagnostic","test",5
"difficult","time",5
"direct","flights",5
"discourage","people",5
"disease","read",5
"disney","resort",5
"disturbing","footage",5
"doctor","dies",5
"doctors","straining",5
"don’t","leave",5
"drop","renowned",5
"drug","candidates",5
"echobox","1580034512",5
"echobox","1580034732",5
"echobox","1580062976",5
"echobox","1580255722",5
"eerie","timelapse",5
"effective","treatment",5
"efforts","coronavirus",5
"emergency","efforts",5
"emergency","news",5
"empty","shelves",5
"enhanced","monitoring",5
"enormous","workload",5
"epicentre","wuhan",5
"epidemic","li_source",5
"express","support",5
"extraordinary","quarantine",5
"fatality","rate",5
"fear","authorities",5
"february","10",5
"february","3",5
"federal","officials",5
"feel","unwell",5
"foreigners","living",5
"fourth","confirmed",5
"global","count",5
"global","scare",5
"government","statistics",5
"grinding","poverty",5
"headlines","quiet",5
"health","checks",5
"health","organization's",5
"health","risk",5
"health","warning",5
"healthcare","workers",5
"highways","sit",5
"hits","41",5
"hospital","corridors",5
"hospital","dies",5
"hospital","doctor",5
"hubei","province's",5
"humans","providing",5
"includes","providing",5
"including","26",5
"including","laos",5
"indefinite","closure",5
"india","mulls",5
"india","offers",5
"indian","cities",5
"indians","stranded",5
