"word1","word2","n"
"live","blog",20
"matt","hancock",20
"medical","teams",20
"outbreak","wuhan",20
"seafood","market",20
"seals","5",20
"stock","markets",20
"trump","offers",20
"uk","government",20
"wuhan","evacuation",20
"wuhan","hospital",20
"3","china",19
"china","chinavirus",19
"china","scrambles",19
"china’s","national",19
"coronavirus","infected",19
"feb","3",19
"forbidden","city",19
"impeachment","trial",19
"japan","south",19
"news","live",19
"outbreak","china's",19
"pneumonia","coronavirus",19
"popular","dish",19
"prevention","cdc",19
"reut.rs","38fi1ne",19
"surgical","masks",19
"topped","100",19
"u.s","citizens",19
"virus","china",19
"world","follow",19
"100","people",18
"26","people",18
"airline","stocks",18
"avoid","close",18
"bans","wildlife",18
"businesses","shut",18
"cdc","confirms",18
"chicago","woman",18
"china's","national",18
"cnb.cx","37wxvi0",18
"contagion","rate",18
"control","studies",18
"cook","food",18
"coronavirus","affects",18
"coronavirus","avoid",18
"coronavirus","contagion",18
"day","earlier",18
"east","china's",18
"economic","impact",18
"government","extended",18
"hands","cover",18
"hospital","beds",18
"illness","cook",18
"iphone","production",18
"officials","announced",18
"ongoing","coronavirus",18
"partial","lockdown",18
"president","trump",18
"rate","makes",18
"renowned","chinese",18
"senior","health",18
"sneeze","wear",18
"special","hospital",18
"surgical","mask",18
"tests","positive",18
"told","staff",18
"treat","victims",18
"updates","coronavirus",18
"xhne.ws","i7mig",18
"56","people",17
"angeles","county",17
"china","allocates",17
"china","expanded",17
"combat","coronavirus",17
"control","efforts",17
"coronavirus","identified",17
"coronavirus","virus",17
"emergency","committee",17
"expanded","travel",17
"headlines","china",17
"health","coronavirus",17
"los","angeles",17
"news","world",17
"outbreak","fears",17
"pneumonia","confirmed",17
"province","reports",17
"toll","rose",17
"top","level",17
"virus","spreads",17
"1,287","confirmed",16
"2020","01",16
"300","people",16
"830","coronavirus",16
"afp","china",16
"animals","including",16
"asia","stocks",16
"beijing","reports",16
"box","office",16
"british","citizens",16
"canada","issue",16
"china","building",16
"china","expands",16
"china's","xi",16
"chinese","hospitals",16
"chinese","officials",16
"city","markets",16
"confirms","830",16
"coronavirus","kills",16
"coronavirus","outbreaks",16
"coronavirus","reaches",16
"coronavirus","strain",16
"coronavirus's","ability",16
"economic","growth",16
"evacuate","diplomats",16
"expands","coronavirus",16
"expert","team",16
"fears","coronavirus",16
"fears","grow",16
"flights","trains",16
"flu","scotland",16
"including","rodents",16
"incubation","period",16
"infectious","diseases",16
"issue","travel",16
"level","regions",16
"media","reports",16
"mysterious","pneumonia",16
"mystery","virus",16
"ncov","pneumonia",16
"news","2020",16
"news","updates",16
"outbreak","affect",16
"panic","spreads",16
"people","infected",16
"people","travel",16
"press","conference",16
"priti","patel",16
"provincial","level",16
"reut.rs","30wje0o",16
"rodents","yak",16
"sars","outbreak",16
"scotland","testing",16
"sell","wild",16
"spreading","china’s",16
"testing","wuhan",16
"u.s","personnel",16
"undergoing","tests",16
"virus","flu",16
"we’re","watching",16
"yak","snakes",16
"1,975","confirmed",15
"18","people",15
"450","military",15
"appreciates","china's",15
"asian","countries",15
"australian","children",15
"british","nationals",15
"carrie","lam",15
"children","stranded",15
"china","president",15
"china","shuts",15
"china","thailand",15
"china's","effort",15
"china's","lunar",15
"chinese","researchers",15
"control","measures",15
"coronavirus","live",15
"coronavirus","quarantine",15
"coronavirus","vaccine",15
"coronavirusoutbreak","china",15
"deserted","amid",15
"emergency","meeting",15
"germany","confirms",15
"ghost","town",15
"harsh","vardhan",15
"hksar","government",15
"hundred","australian",15
"isolation","ward",15
"japanese","citizens",15
"killed","18",15
"live","china",15
"on.rt.com","a9le",15
"provide","airlifts",15
