date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-28 06:37:13,guardiannews,,1,17,21,"Wuhan evacuation: US and Japan to fly out citizens as coronavirus deaths rise https://www.theguardian.com/science/2020/jan/28/wuhan-evacuation-us-and-japan-to-fly-out-citizens-as-coronavirus-deaths-rise?CMP=twt_b-gdnnews&amp;utm_medium=Social&amp;utm_source=Twitter#Echobox=1580193438",,,,1222045950631469056,https://twitter.com/guardiannews/status/1222045950631469056
2020-01-28 06:37:04,CNN,,44,307,471,"The death toll from the Wuhan coronavirus has topped 100, with more than 4,500 cases confirmed across China. US authorities have warned against all ""non-essential"" travel to China, and more than a dozen countries around the world have confirmed cases. ",,,,1222045910567354368,https://twitter.com/CNN/status/1222045910567354368
2020-01-28 05:31:04,CNN,,49,927,1033,"This is how the Wuhan coronavirus affects the body https://cnn.it/2t362bH",,,,1222029301203324928,https://twitter.com/CNN/status/1222029301203324928
2020-01-28 04:46:31,CNN,,42,460,1331,"The Philippines said it has stopped granting visas on arrival to Chinese nationals in an effort to stop the spread of the Wuhan coronavirus ",,,,1222018090789232646,https://twitter.com/CNN/status/1222018090789232646
2020-01-28 04:43:47,CNN,,17,90,249,"Tibet, the last region in mainland China with no confirmed cases of the Wuhan coronavirus, announced the indefinite closure of all tourist attractions effective from Monday, a state-run newspaper reported, citing the regional Communist Party committee ",,,,1222017401858023424,https://twitter.com/CNN/status/1222017401858023424
2020-01-28 04:39:52,CNN,,35,294,369,"China’s National Health Commission has said the Wuhan coronavirus can be transmitted through contact, as well as droplets. The announcement follows results of the fourth trial of a coronavirus treatment scheme run by the NHC. ",,,,1222016418285346821,https://twitter.com/CNN/status/1222016418285346821
2020-01-28 04:36:58,CNN,,45,255,341,"By the end of day Monday, there were 4,515 confirmed cases of Wuhan coronavirus in mainland China, according to China’s National Health Commission, and 2,744 by the end of day Sunday. That's a jump in reported cases of nearly 65% over the course of a day. ",,,,1222015686874148865,https://twitter.com/CNN/status/1222015686874148865
2020-01-28 04:31:05,CNN,,21,100,174,"China's announcement of a ban on outbound group travel due to Wuhan coronavirus has caused cancellation mayhem for a Tokyo-based travel agency as more than 20,000 of its Chinese package tour customers pulled the plug on all trips to Japan up to February 10 ",,,,1222014206729490432,https://twitter.com/CNN/status/1222014206729490432
2020-01-28 03:51:05,CNN,,86,495,725,"How to protect yourself from Wuhan coronavirus: - Avoid close contact with anyone showing symptoms of respiratory illness - Cook food thoroughly - Wash your hands - Cover your mouth and nose when you cough or sneeze - Wear a surgical mask ",,,,1222004138546028547,https://twitter.com/CNN/status/1222004138546028547
2020-01-28 03:31:05,CNN,,37,92,174,"The Wuhan coronavirus is continuing to cause pain for investors. Markets in South Korea and Japan fell on Tuesday, continuing a global selloff as the virus sickens people around the world. Markets in Shanghai and Hong Kong remain closed for the holiday. ",,,,1221999106790436869,https://twitter.com/CNN/status/1221999106790436869
2020-01-28 02:57:55,CNN,,100,105,254,"Vendors in small city markets in China often sell wild animals including rodents, yak, snakes and even porcupines. Officials announced that the trading of wild animals would be temporarily suspended, hoping to help contain the Wuhan coronavirus outbreak. ",,,,1221990759043424256,https://twitter.com/CNN/status/1221990759043424256
2020-01-28 02:52:46,CNN,,25,129,201,"Five people have now been confirmed to have the Wuhan coronavirus in Singapore, the Ministry of Health said. Doctors have diagnosed a 56-year-old Chinese woman from Wuhan — the epicenter of the outbreak — with the respiratory virus. ",,,,1221989464953802752,https://twitter.com/CNN/status/1221989464953802752
2020-01-28 02:25:47,CNN,,7,77,127,"The northern Chinese city of Tangshan announced that it will suspend all local public transportation services, in an effort to curb the spread of the Wuhan coronavirus ",,,,1221982674300084224,https://twitter.com/CNN/status/1221982674300084224
2020-01-28 02:25:04,CNN,,16,135,215,"The Hong Kong government announced that all public cultural and leisure facilities will be closed ""until further notice"" in a bid to control the spread of Wuhan coronavirus ",,,,1221982495299833860,https://twitter.com/CNN/status/1221982495299833860
